itm_mstr_key,sys_cd,form_vrsn,spec_vrsn,itm_srt_id,itm_id,itm_db_id,itm_shrt_label,itm_sect_srt_id,itm_sect_label,itm_grp_cd,itm_loinc_id,itm_type_cd,fixed_rec_srt_id,fixed_rec_strt_byte,fixed_rec_end_byte,fixed_strt_end_bytes,fixed_rec_lngth,itm_vrsn_notes,itm_txt,isc_active,isc_inactive,isc_state_opt,NC,NP,NQ,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX
378,MDS,,,70330,ITEM_FILLER_034,STG_3_4_ULCR_LNGTH_NUM,Item filler: replaces old M0610A,28,Filler,Filler,,Text,38700,920,923,920-923,4,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
379,MDS,,,70332,ITEM_FILLER_035,STG_3_4_ULCR_WDTH_NUM,Item filler: replaces old M0610B,28,Filler,Filler,,Text,38800,924,927,924-927,4,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
381,MDS,,,70336,ITEM_FILLER_037,ULCR_TISUE_TYPE_CD,Item filler: replaces old M0700,28,Filler,Filler,,Text,39000,932,932,932-932,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
382,MDS,,,70338,ITEM_FILLER_038,WRSNG_STG_2_ULCR_NUM,Item filler: replaces old M0800A,28,Filler,Filler,,Text,39100,933,933,933-933,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
383,MDS,,,70340,ITEM_FILLER_039,WRSNG_STG_3_ULCR_NUM,Item filler: replaces old M0800B,28,Filler,Filler,,Text,39200,934,934,934-934,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
384,MDS,,,70342,ITEM_FILLER_040,WRSNG_STG_4_ULCR_NUM,Item filler: replaces old M0800C,28,Filler,Filler,,Text,39300,935,935,935-935,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
386,MDS,,,70344,ITEM_FILLER_041,PRSR_ULCR_PRIOR_CD,Item filler: replaces old M0900A,28,Filler,Filler,,Text,39400,936,936,936-936,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
387,MDS,,,70346,ITEM_FILLER_042,HEALD_STG_2_ULCR_NUM,Item filler: replaces old M0900B,28,Filler,Filler,,Text,39500,937,937,937-937,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
388,MDS,,,70348,ITEM_FILLER_043,HEALD_STG_3_ULCR_NUM,Item filler: replaces old M0900C,28,Filler,Filler,,Text,39600,938,938,938-938,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
389,MDS,,,70350,ITEM_FILLER_044,HEALD_STG_4_ULCR_NUM,Item filler: replaces old M0900D,28,Filler,Filler,,Text,39700,939,939,939-939,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
390,MDS,,,39800,M1040A,FT_INFCTN_CD,Other skin probs: infection of the foot,14,M,Asmt,,Checklist,39800,941,941,941-941,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
391,MDS,,,39900,M1040B,DBTC_FT_ULCR_CD,Other skin probs: diabetic foot ulcer(s),14,M,Asmt,,Checklist,39900,942,942,942-942,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
392,MDS,,,40000,M1040C,OTHR_LSN_FT_CD,Other skin probs: other open lesion(s) on the foot,14,M,Asmt,,Checklist,40000,943,943,943-943,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
393,MDS,,,40200,M1040E,SRGCL_WND_CD,Other skin probs: surgical wound(s),14,M,Asmt,,Checklist,40200,945,945,945-945,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
394,MDS,,,40300,M1040F,BRN_CD,Other skin probs: burns (second or third degree),14,M,Asmt,,Checklist,40300,946,946,946-946,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
396,MDS,,,40500,M1040Z,NO_OTHR_SKIN_PRBLM_CD,Other skin probs: none of the above,14,M,Asmt,,Checklist,40500,947,947,947-947,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
397,MDS,,,39750,M1030,ARTRL_ULCR_NUM,Number of venous and arterial ulcers,14,M,Asmt,,Number,39750,940,940,940-940,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
398,MDS,,,40700,M1200A,PRSR_RDC_CHR_CD,Skin/ulcer/injry treat: prssr rduce dvc for chair,14,M,Asmt,,Checklist,40700,948,948,948-948,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
399,MDS,,,40800,M1200B,PRSR_RDC_BED_CD,Skin/ulcer/injry treat: prssr reducing dvc for bed,14,M,Asmt,,Checklist,40800,949,949,949-949,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
400,MDS,,,40900,M1200C,TRNG_PGM_CD,Skin/ulcer/injry treat: turning/repositioning,14,M,Asmt,,Checklist,40900,950,950,950-950,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
401,MDS,,,41000,M1200D,HYDRTN_CD,Skin/ulcer/injry treat: nutrition/hydration,14,M,Asmt,,Checklist,41000,951,951,951-951,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
402,MDS,,,41100,M1200E,ULCR_CARE_CD,Skin/ulcer/injry treat: prssr ulcer/injry care,14,M,Asmt,,Checklist,41100,952,952,952-952,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
403,MDS,,,41200,M1200F,SRGCL_WND_CARE_CD,Skin/ulcer/injry treat: surgical wound care,14,M,Asmt,,Checklist,41200,953,953,953-953,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
404,MDS,,,41300,M1200G,APLCTN_DRSNG_CD,Skin/ulcer/injry treat: application of dressings,14,M,Asmt,,Checklist,41300,954,954,954-954,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
405,MDS,,,41400,M1200H,APLCTN_ONTMNT_CD,Skin/ulcer/injry treat: apply ointments/meds,14,M,Asmt,,Checklist,41400,955,955,955-955,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
406,MDS,,,41500,M1200I,APLCTN_DRSNG_FOOT_CD,Skin/ulcer/injry treat: apply dressings to feet,14,M,Asmt,,Checklist,41500,956,956,956-956,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
407,MDS,,,41600,M1200Z,NO_SKIN_TRMNT_CD,Skin/ulcer/injry treat: none of the above,14,M,Asmt,,Checklist,41600,957,957,957-957,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
408,MDS,,,41700,N0300,INJCT_MDCTN_DAY_NUM,Number of days injectable medications received,15,N,Asmt,,Number,41700,958,958,958-958,1,,,"NC,NQ,NP,OSA,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,x,,,
409,MDS,,,70080,ITEM_FILLER_009,ANTIPSYCHTC_RCVD_CD,Item filler: replaces old N0400A,28,Filler,Filler,,Text,41800,961,961,961-961,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
410,MDS,,,70090,ITEM_FILLER_010,ANTINXTY_CD,Item filler: replaces old N0400B,28,Filler,Filler,,Text,41900,962,962,962-962,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
411,MDS,,,70100,ITEM_FILLER_011,ANTIDPRSNT_CD,Item filler: replaces old N0400C,28,Filler,Filler,,Text,42000,963,963,963-963,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
412,MDS,,,70110,ITEM_FILLER_012,HPNTC_CD,Item filler: replaces old N0400D,28,Filler,Filler,,Text,42100,964,964,964-964,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
413,MDS,,,70120,ITEM_FILLER_013,ANTICOAGLNT_CD,Item filler: replaces old N0400E,28,Filler,Filler,,Text,42200,965,965,965-965,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
414,MDS,,,70150,ITEM_FILLER_016,NO_MDCTN_RCVD_CD,Item filler: replaces old N0400Z,28,Filler,Filler,,Text,42300,968,968,968-968,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
415,MDS,,,42400,O0100A1,CHMTHRPY_PRIOR_CD,Treatment: chemotherapy - while not resident,16,O,Asmt,,Checklist,42400,969,969,969-969,1,,,"NC,NQ,NP,OSA","ND,NT,NPE,IPA,SP,SD,ST,XX",,x,x,x,,,,,x,,,,
416,MDS,,,42500,O0100A2,CHMTHRPY_POST_CD,Treatment: chemotherapy - while resident,16,O,Asmt,,Checklist,42500,970,970,970-970,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
417,MDS,,,42600,O0100B1,RDTN_PRIOR_CD,Treatment: radiation - while not resident,16,O,Asmt,,Checklist,42600,971,971,971-971,1,,,"NC,NQ,NP,OSA","ND,NT,NPE,IPA,SP,SD,ST,XX",,x,x,x,,,,,x,,,,
418,MDS,,,42700,O0100B2,RDTN_POST_CD,Treatment: radiation - while resident,16,O,Asmt,,Checklist,42700,972,972,972-972,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
419,MDS,,,42800,O0100C1,OXGN_PRIOR_CD,Treatment: oxygen therapy - while not resident,16,O,Asmt,,Checklist,42800,973,973,973-973,1,,,"NC,NQ,NP,OSA","ND,NT,NPE,IPA,SP,SD,ST,XX",,x,x,x,,,,,x,,,,
420,MDS,,,42900,O0100C2,OXGN_POST_CD,Treatment: oxygen therapy - while resident,16,O,Asmt,,Checklist,42900,974,974,974-974,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
421,MDS,,,43000,O0100D1,SCTNG_PRIOR_CD,Treatment: suctioning - while not resident,16,O,Asmt,,Checklist,43000,975,975,975-975,1,,,"NC,NQ,NP,OSA","ND,NT,NPE,IPA,SP,SD,ST,XX",,x,x,x,,,,,x,,,,
422,MDS,,,43100,O0100D2,SCTNG_POST_CD,Treatment: suctioning - while resident,16,O,Asmt,,Checklist,43100,976,976,976-976,1,[V3.00.0]-Added item to the SP ISC.,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
423,MDS,,,43200,O0100E1,TRCHOSTMY_PRIOR_CD,Treatment: tracheostomy care - while not resident,16,O,Asmt,,Checklist,43200,977,977,977-977,1,,,"NC,NQ,NP,OSA","ND,NT,NPE,IPA,SP,SD,ST,XX",,x,x,x,,,,,x,,,,
424,MDS,,,43300,O0100E2,TRCHOSTMY_POST_CD,Treatment: tracheostomy care - while resident,16,O,Asmt,,Checklist,43300,978,978,978-978,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
425,MDS,,,43400,O0100F1,VNTLTR_PRIOR_CD,Treat: Invsv Mech Vent - while not resident,16,O,Asmt,,Checklist,43400,979,979,979-979,1,,,"NC,NQ,NP,OSA","ND,NT,NPE,IPA,SP,SD,ST,XX",,x,x,x,,,,,x,,,,
426,MDS,,,43500,O0100F2,VNTLTR_POST_CD,Treat: Invsv Mech Vent - while resident,16,O,Asmt,,Checklist,43500,980,980,980-980,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
427,MDS,,,43600,O0100G1,CPAP_PRIOR_CD,Treat: Non-invsv Mech Vent - while not resident,16,O,Asmt,,Checklist,43600,981,981,981-981,1,,,NC,"ND,NT,NPE,IPA,OSA,SP,SD,ST,XX","NQ,NP",x,s,s,,,,,,,,,
428,MDS,,,43700,O0100G2,CPAP_POST_CD,Treat: Non-invsv Mech Vent - while resident,16,O,Asmt,,Checklist,43700,982,982,982-982,1,,,NC,"ND,NT,NPE,IPA,OSA,SP,SD,ST,XX","NQ,NP",x,s,s,,,,,,,,,
429,MDS,,,43800,O0100H1,IV_MDCTN_PRIOR_CD,Treatment: IV medications - while not resident,16,O,Asmt,,Checklist,43800,983,983,983-983,1,,,"NC,NQ,NP,OSA","ND,NT,NPE,IPA,SP,SD,ST,XX",,x,x,x,,,,,x,,,,
430,MDS,,,43900,O0100H2,IV_MDCTN_POST_CD,Treatment: IV medications - while resident,16,O,Asmt,,Checklist,43900,984,984,984-984,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
431,MDS,,,44000,O0100I1,TRNSFSN_PRIOR_CD,Treatment: transfusions - while not resident,16,O,Asmt,,Checklist,44000,985,985,985-985,1,,,"NC,NQ,NP,OSA","ND,NT,NPE,IPA,SP,SD,ST,XX",,x,x,x,,,,,x,,,,
432,MDS,,,44100,O0100I2,TRNSFSN_POST_CD,Treatment: transfusions - while resident,16,O,Asmt,,Checklist,44100,986,986,986-986,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
433,MDS,,,44200,O0100J1,DLYS_PRIOR_CD,Treatment: dialysis - while not resident,16,O,Asmt,,Checklist,44200,987,987,987-987,1,"[V3.00.1]-Added item to the SP ISC, per errata issue 02.",,"NC,NQ,NP,OSA,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,x,,,
434,MDS,,,44300,O0100J2,DLYS_POST_CD,Treatment: dialysis - while resident,16,O,Asmt,,Checklist,44300,988,988,988-988,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
435,MDS,,,44400,O0100K1,HOSPC_PRIOR_CD,Treatment: hospice care - while not resident,16,O,Asmt,,Checklist,44400,989,989,989-989,1,,,NC,"ND,NT,NPE,IPA,OSA,SP,SD,ST,XX","NQ,NP",x,s,s,,,,,,,,,
436,MDS,,,44500,O0100K2,HOSPC_POST_CD,Treatment: hospice care - while resident,16,O,Asmt,,Checklist,44500,990,990,990-990,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,OSA,ST,XX",,x,x,x,x,,,,,x,x,,
438,MDS,,,70366,ITEM_FILLER_053,RESP_POST_CD,Item filler: replaces old O0100L2,28,Filler,Filler,,Text,44700,991,991,991-991,1,[V3.00.0]-Filler item to replace deleted item O0100L2.,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
439,MDS,,,44800,O0100M1,ISLTN_PRIOR_CD,Treatment: isolate/quarantine - while not resident,16,O,Asmt,,Checklist,44800,992,992,992-992,1,,,NC,"ND,NT,NPE,IPA,OSA,SP,SD,ST,XX","NQ,NP",x,s,s,,,,,,,,,
440,MDS,,,44900,O0100M2,ISLTN_POST_CD,Treatment: isolate/quarantine - while resident,16,O,Asmt,,Checklist,44900,993,993,993-993,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
441,MDS,,,45000,O0250A,INFLNZ_RCVD_CD,Was influenza vaccine received,16,O,Asmt,,Code,45000,996,996,996-996,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,OSA,ST,XX",,x,x,x,x,,,,,x,x,,
442,MDS,,,45100,O0250C,RSN_INFLNZ_NOT_RCV_CD,"If influenza vaccine not received, state reason",16,O,Asmt,,Code,45100,1005,1005,1005-1005,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,OSA,ST,XX",,x,x,x,x,,,,,x,x,,
443,MDS,,,45200,O0300A,PPV_CD,Is pneumococcal vaccination up to date,16,O,Asmt,,Code,45200,1006,1006,1006-1006,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,OSA,ST,XX",,x,x,x,x,,,,,x,x,,
444,MDS,,,45300,O0300B,RSN_PPV_NOT_RCVD_CD,"If pneumococcal vacc not received, state reason",16,O,Asmt,,Code,45300,1007,1007,1007-1007,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,OSA,ST,XX",,x,x,x,x,,,,,x,x,,
445,MDS,,,45500,O0400A4,SPCH_THRPY_DAY_NUM,Speech-language/audiology: number of days,16,O,Asmt,,Number,45500,1020,1020,1020-1020,1,,,"NC,NQ,NP,OSA,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,x,,,
446,MDS,,,45400,O0400A1,SPCH_THRPY_IND_MIN_NUM,Speech-language/audiology: individ minutes,16,O,Asmt,,Number,45400,1008,1011,1008-1011,4,,,"NC,NQ,NP,OSA,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,x,,,
447,MDS,,,45600,O0400A5,SPCH_THRPY_STRT_DT,Speech-language/audiology: start date,16,O,Asmt,,Date,45600,1021,1028,1021-1028,8,[V3.00.0]-Item removed from SD ISC.,,"NC,NQ,NP,ND,OSA,SP","NT,NPE,IPA,SD,ST,XX",,x,x,x,x,,,,x,x,,,
448,MDS,,,45700,O0400A6,SPCH_THRPY_END_DT,Speech-language/audiology: end date,16,O,Asmt,,Date,45700,1029,1036,1029-1036,8,[V3.00.0]-Item removed from SD ISC.,,"NC,NQ,NP,ND,OSA,SP","NT,NPE,IPA,SD,ST,XX",,x,x,x,x,,,,x,x,,,
449,MDS,,,45900,O0400B4,OT_DAY_NUM,Occupational therapy: number of days,16,O,Asmt,,Number,45900,1049,1049,1049-1049,1,,,"NC,NQ,NP,OSA,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,x,,,
450,MDS,,,45800,O0400B1,OT_INDVDL_MIN_NUM,Occupational therapy: individ minutes,16,O,Asmt,,Number,45800,1037,1040,1037-1040,4,,,"NC,NQ,NP,OSA,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,x,,,
451,MDS,,,46000,O0400B5,OT_STRT_DT,Occupational therapy: start date,16,O,Asmt,,Date,46000,1050,1057,1050-1057,8,[V3.00.0]-Item removed from SD ISC.,,"NC,NQ,NP,ND,OSA,SP","NT,NPE,IPA,SD,ST,XX",,x,x,x,x,,,,x,x,,,
452,MDS,,,46100,O0400B6,OT_END_DT,Occupational therapy: end date,16,O,Asmt,,Date,46100,1058,1065,1058-1065,8,[V3.00.0]-Item removed from SD ISC.,,"NC,NQ,NP,ND,OSA,SP","NT,NPE,IPA,SD,ST,XX",,x,x,x,x,,,,x,x,,,
453,MDS,,,46300,O0400C4,PT_DAY_NUM,Physical therapy: number of days,16,O,Asmt,,Number,46300,1078,1078,1078-1078,1,,,"NC,NQ,NP,OSA,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,x,,,
454,MDS,,,46200,O0400C1,PT_INDVDL_MIN_NUM,Physical therapy: individ minutes,16,O,Asmt,,Number,46200,1066,1069,1066-1069,4,,,"NC,NQ,NP,OSA,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,x,,,
455,MDS,,,46400,O0400C5,PT_STRT_DT,Physical therapy: start date,16,O,Asmt,,Date,46400,1079,1086,1079-1086,8,[V3.00.0]-Item removed from SD ISC.,,"NC,NQ,NP,ND,OSA,SP","NT,NPE,IPA,SD,ST,XX",,x,x,x,x,,,,x,x,,,
456,MDS,,,46500,O0400C6,PT_END_DT,Physical therapy: end date,16,O,Asmt,,Date,46500,1087,1094,1087-1094,8,[V3.00.0]-Item removed from SD ISC.,,"NC,NQ,NP,ND,OSA,SP","NT,NPE,IPA,SD,ST,XX",,x,x,x,x,,,,x,x,,,
457,MDS,,,46700,O0400D2,RT_DAY_NUM,Respiratory therapy: number of days,16,O,Asmt,,Number,46700,1099,1099,1099-1099,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
458,MDS,,,46600,O0400D1,RT_MIN_NUM,Respiratory therapy: number of minutes,16,O,Asmt,,Number,46600,1095,1098,1095-1098,4,,,NC,"ND,NT,NPE,IPA,OSA,SP,SD,ST,XX","NQ,NP",x,s,s,,,,,,,,,
461,MDS,,,47100,O0400E2,PSYCH_THRPY_DAY_NUM,Psychological therapy: number of days,16,O,Asmt,,Number,47100,1104,1104,1104-1104,1,,,"NC,NQ,NP","ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,x,x,x,,,,,,,,,
462,MDS,,,47000,O0400E1,PSYCH_THRPY_MIN_NUM,Psychological therapy: number of minutes,16,O,Asmt,,Number,47000,1100,1103,1100-1103,4,,,NC,"ND,NT,NPE,IPA,OSA,SP,SD,ST,XX","NQ,NP",x,s,s,,,,,,,,,
465,MDS,,,47405,O0400F2,RCRTNL_THRPY_DAY_NUM,Recreational therapy: number of days,16,O,Asmt,,Number,47500,1109,1109,1109-1109,1,,,NC,"ND,NT,NPE,IPA,OSA,SP,SD,ST,XX","NQ,NP",x,s,s,,,,,,,,,
466,MDS,,,47400,O0400F1,RCRTNL_THRPY_MIN_NUM,Recreational therapy: number of minutes,16,O,Asmt,,Number,47400,1105,1108,1105-1108,4,,,NC,"ND,NT,NPE,IPA,OSA,SP,SD,ST,XX","NQ,NP",x,s,s,,,,,,,,,
469,MDS,,,47800,O0500A,PSV_ROM_NUM,Range of motion (passive): number of days,16,O,Asmt,,Number,47800,1110,1110,1110-1110,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
470,MDS,,,47900,O0500B,ACTV_ROM_NUM,Range of motion (active): number of days,16,O,Asmt,,Number,47900,1111,1111,1111-1111,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
471,MDS,,,48000,O0500C,BRC_ASTNC_NUM,Splint or brace assistance: number of days,16,O,Asmt,,Number,48000,1112,1112,1112-1112,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
472,MDS,,,48100,O0500D,BED_MBLTY_TRNG_NUM,Bed mobility training: number of days,16,O,Asmt,,Number,48100,1113,1113,1113-1113,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
473,MDS,,,48200,O0500E,TRNSFR_TRNG_NUM,Transfer training: number of days,16,O,Asmt,,Number,48200,1114,1114,1114-1114,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
474,MDS,,,48300,O0500F,WLKG_TRNG_NUM,Walking training: number of days,16,O,Asmt,,Number,48300,1115,1115,1115-1115,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
475,MDS,,,48400,O0500G,DRSG_TRNG_NUM,Dressing and/or grooming training: number of days,16,O,Asmt,,Number,48400,1116,1116,1116-1116,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
476,MDS,,,48500,O0500H,EATG_TRNG_NUM,Eating and/or swallowing training: number of days,16,O,Asmt,,Number,48500,1117,1117,1117-1117,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
477,MDS,,,48600,O0500I,AMPUTTN_TRNG_NUM,Amputation/prosthesis training: number of days,16,O,Asmt,,Number,48600,1118,1118,1118-1118,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
478,MDS,,,48700,O0500J,COMMUN_TRNG_NUM,Communication training: number of days,16,O,Asmt,,Number,48700,1119,1119,1119-1119,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
479,MDS,,,48800,O0600,PHYSN_EXMN_NUM,Physician examinations: number of days,16,O,Asmt,,Number,48800,1120,1121,1120-1121,2,,,"NC,NQ,NP,OSA,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,x,,,
480,MDS,,,48900,O0700,PHYSN_ORDR_NUM,Physician orders: number of days,16,O,Asmt,,Number,48900,1122,1123,1122-1123,2,,,"NC,NQ,NP,OSA,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,x,,,
481,MDS,,,49000,P0100A,BED_RAIL_CD,Restraints used in bed: bed rail,17,P,Asmt,,Code,49000,1124,1124,1124-1124,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,OSA,ST,XX",,x,x,x,x,,,,,x,x,,
482,MDS,,,49100,P0100B,TRNK_RSTRNT_BED_CD,Restraints used in bed: trunk restraint,17,P,Asmt,,Code,49100,1125,1125,1125-1125,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,OSA,ST,XX",,x,x,x,x,,,,,x,x,,
483,MDS,,,49200,P0100C,LMB_RSTRNT_BED_CD,Restraints used in bed: limb restraint,17,P,Asmt,,Code,49200,1126,1126,1126-1126,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,OSA,ST,XX",,x,x,x,x,,,,,x,x,,
484,MDS,,,49300,P0100D,OTHR_RSTRNT_BED_CD,Restraints used in bed: other,17,P,Asmt,,Code,49300,1127,1127,1127-1127,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,OSA,ST,XX",,x,x,x,x,,,,,x,x,,
485,MDS,,,49400,P0100E,TRNK_RSTRNT_CHR_CD,Restraints in chair/out of bed: trunk restraint,17,P,Asmt,,Code,49400,1128,1128,1128-1128,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,OSA,ST,XX",,x,x,x,x,,,,,x,x,,
